sample_id,video_id,clip_id,text_length_chars,valid_tokens,feature_file,status
-mqbVkbCndg_0,-mqbVkbCndg,0,71,19,outputs/features/text/-mqbVkbCndg_0.npy,existing
-t217m2on-s_2,-t217m2on-s,2,60,18,outputs/features/text/-t217m2on-s_2.npy,existing
-t217m2on-s_7,-t217m2on-s,7,245,50,outputs/features/text/-t217m2on-s_7.npy,existing
-tANM6ETl_M_3,-tANM6ETl_M,3,115,31,outputs/features/text/-tANM6ETl_M_3.npy,existing
-tPCytz4rww_11,-tPCytz4rww,11,95,22,outputs/features/text/-tPCytz4rww_11.npy,existing
-tPCytz4rww_10,-tPCytz4rww,10,65,17,outputs/features/text/-tPCytz4rww_10.npy,existing
-tPCytz4rww_12,-tPCytz4rww,12,159,30,outputs/features/text/-tPCytz4rww_12.npy,existing
-tPCytz4rww_16,-tPCytz4rww,16,74,19,outputs/features/text/-tPCytz4rww_16.npy,existing
-tPCytz4rww_18,-tPCytz4rww,18,86,24,outputs/features/text/-tPCytz4rww_18.npy,existing
-vxjVxOeScU_4,-vxjVxOeScU,4,123,29,outputs/features/text/-vxjVxOeScU_4.npy,existing
-wMB_hJL-3o_7,-wMB_hJL-3o,7,107,25,outputs/features/text/-wMB_hJL-3o_7.npy,existing
-wny0OAz3g8_1,-wny0OAz3g8,1,141,30,outputs/features/text/-wny0OAz3g8_1.npy,existing
-wny0OAz3g8_0,-wny0OAz3g8,0,53,13,outputs/features/text/-wny0OAz3g8_0.npy,existing
-wny0OAz3g8_3,-wny0OAz3g8,3,117,22,outputs/features/text/-wny0OAz3g8_3.npy,existing
-wny0OAz3g8_2,-wny0OAz3g8,2,137,30,outputs/features/text/-wny0OAz3g8_2.npy,existing
-wny0OAz3g8_5,-wny0OAz3g8,5,125,29,outputs/features/text/-wny0OAz3g8_5.npy,existing
-wny0OAz3g8_7,-wny0OAz3g8,7,157,33,outputs/features/text/-wny0OAz3g8_7.npy,existing
-wny0OAz3g8_9,-wny0OAz3g8,9,118,24,outputs/features/text/-wny0OAz3g8_9.npy,existing
-571d8cVauQ_0,-571d8cVauQ,0,72,18,outputs/features/text/-571d8cVauQ_0.npy,existing
-571d8cVauQ_5,-571d8cVauQ,5,229,50,outputs/features/text/-571d8cVauQ_5.npy,existing
-I_e4mIh0yE_1,-I_e4mIh0yE,1,98,23,outputs/features/text/-I_e4mIh0yE_1.npy,existing
-I_e4mIh0yE_3,-I_e4mIh0yE,3,132,32,outputs/features/text/-I_e4mIh0yE_3.npy,existing
-UacrmKiTn4_10,-UacrmKiTn4,10,95,24,outputs/features/text/-UacrmKiTn4_10.npy,existing
-UacrmKiTn4_4,-UacrmKiTn4,4,72,17,outputs/features/text/-UacrmKiTn4_4.npy,existing
-hnBHBN8p5A_7,-hnBHBN8p5A,7,78,19,outputs/features/text/-hnBHBN8p5A_7.npy,existing
-hnBHBN8p5A_6,-hnBHBN8p5A,6,84,16,outputs/features/text/-hnBHBN8p5A_6.npy,existing
-qDkUB0GgYY_6,-qDkUB0GgYY,6,75,20,outputs/features/text/-qDkUB0GgYY_6.npy,existing
-uywlfIYOS8_4,-uywlfIYOS8,4,93,24,outputs/features/text/-uywlfIYOS8_4.npy,existing
-6rXp3zJ3kc_8,-6rXp3zJ3kc,8,170,40,outputs/features/text/-6rXp3zJ3kc_8.npy,existing
-9y-fZ3swSY_0,-9y-fZ3swSY,0,102,30,outputs/features/text/-9y-fZ3swSY_0.npy,existing
-9y-fZ3swSY_4,-9y-fZ3swSY,4,33,13,outputs/features/text/-9y-fZ3swSY_4.npy,existing
-9y-fZ3swSY_8,-9y-fZ3swSY,8,55,16,outputs/features/text/-9y-fZ3swSY_8.npy,existing
-AUZQgSxyPQ_2,-AUZQgSxyPQ,2,262,50,outputs/features/text/-AUZQgSxyPQ_2.npy,existing
-HeZS2-Prhc_2,-HeZS2-Prhc,2,77,19,outputs/features/text/-HeZS2-Prhc_2.npy,existing
-MeTTeMJBNc_0,-MeTTeMJBNc,0,117,28,outputs/features/text/-MeTTeMJBNc_0.npy,existing
-MeTTeMJBNc_13,-MeTTeMJBNc,13,70,18,outputs/features/text/-MeTTeMJBNc_13.npy,existing
-MeTTeMJBNc_7,-MeTTeMJBNc,7,160,35,outputs/features/text/-MeTTeMJBNc_7.npy,existing
-RfYyzHpjk4_11,-RfYyzHpjk4,11,89,21,outputs/features/text/-RfYyzHpjk4_11.npy,existing
-RfYyzHpjk4_8,-RfYyzHpjk4,8,81,23,outputs/features/text/-RfYyzHpjk4_8.npy,existing
-RfYyzHpjk4_2,-RfYyzHpjk4,2,119,31,outputs/features/text/-RfYyzHpjk4_2.npy,existing
-UUCSKoHeMA_0,-UUCSKoHeMA,0,93,25,outputs/features/text/-UUCSKoHeMA_0.npy,existing
-ri04Z7vwnc_0,-ri04Z7vwnc,0,43,10,outputs/features/text/-ri04Z7vwnc_0.npy,existing
-ri04Z7vwnc_2,-ri04Z7vwnc,2,99,28,outputs/features/text/-ri04Z7vwnc_2.npy,existing
-ri04Z7vwnc_5,-ri04Z7vwnc,5,47,13,outputs/features/text/-ri04Z7vwnc_5.npy,existing
-s9qJ7ATP7w_1,-s9qJ7ATP7w,1,50,14,outputs/features/text/-s9qJ7ATP7w_1.npy,existing
-s9qJ7ATP7w_0,-s9qJ7ATP7w,0,112,30,outputs/features/text/-s9qJ7ATP7w_0.npy,existing
-s9qJ7ATP7w_5,-s9qJ7ATP7w,5,88,22,outputs/features/text/-s9qJ7ATP7w_5.npy,existing
-s9qJ7ATP7w_4,-s9qJ7ATP7w,4,52,12,outputs/features/text/-s9qJ7ATP7w_4.npy,existing
-s9qJ7ATP7w_7,-s9qJ7ATP7w,7,136,40,outputs/features/text/-s9qJ7ATP7w_7.npy,existing
-s9qJ7ATP7w_6,-s9qJ7ATP7w,6,21,7,outputs/features/text/-s9qJ7ATP7w_6.npy,existing
-s9qJ7ATP7w_8,-s9qJ7ATP7w,8,60,19,outputs/features/text/-s9qJ7ATP7w_8.npy,existing
-yRb-Jum7EQ_1,-yRb-Jum7EQ,1,326,50,outputs/features/text/-yRb-Jum7EQ_1.npy,existing
-yRb-Jum7EQ_5,-yRb-Jum7EQ,5,156,33,outputs/features/text/-yRb-Jum7EQ_5.npy,existing
-yRb-Jum7EQ_6,-yRb-Jum7EQ,6,116,26,outputs/features/text/-yRb-Jum7EQ_6.npy,existing
