sample_id,modality,position,start_sec,end_sec,is_valid
-3g5yACwYnA_13,vision,29,14.5,15.0,False
-3g5yACwYnA_13,vision,30,15.0,15.5,False
-3g5yACwYnA_13,vision,31,15.5,16.0,False
-3g5yACwYnA_13,vision,32,16.0,16.5,False
-3g5yACwYnA_13,vision,33,16.5,17.0,False
-3g5yACwYnA_13,vision,34,17.0,17.5,False
-3g5yACwYnA_13,vision,35,17.5,18.0,False
-3g5yACwYnA_13,vision,36,18.0,18.5,False
-3g5yACwYnA_13,vision,37,18.5,19.0,False
-3g5yACwYnA_13,vision,38,19.0,19.5,False
-3g5yACwYnA_13,vision,39,19.5,20.0,False
-3g5yACwYnA_13,vision,40,20.0,20.5,False
-3g5yACwYnA_13,vision,41,20.5,21.0,False
-3g5yACwYnA_13,vision,42,21.0,21.5,False
-3g5yACwYnA_13,vision,43,21.5,22.0,False
-3g5yACwYnA_13,vision,44,22.0,22.5,False
-3g5yACwYnA_13,vision,45,22.5,23.0,False
-3g5yACwYnA_13,vision,46,23.0,23.5,False
-3g5yACwYnA_13,vision,47,23.5,24.0,False
-3g5yACwYnA_13,vision,48,24.0,24.5,False
-3g5yACwYnA_13,vision,49,24.5,25.0,False
-3g5yACwYnA_2,audio,0,0.0,0.5,True
-3g5yACwYnA_2,audio,1,0.5,1.0,True
-3g5yACwYnA_2,audio,2,1.0,1.5,True
-3g5yACwYnA_2,audio,3,1.5,2.0,True
-3g5yACwYnA_2,audio,4,2.0,2.5,True
-3g5yACwYnA_2,audio,5,2.5,3.0,True
-3g5yACwYnA_2,audio,6,3.0,3.5,True
-3g5yACwYnA_2,audio,7,3.5,4.0,True
-3g5yACwYnA_2,audio,8,4.0,4.5,True
-3g5yACwYnA_2,audio,9,4.5,5.0,True
-3g5yACwYnA_2,audio,10,5.0,5.5,True
-3g5yACwYnA_2,audio,11,5.5,6.0,True
-3g5yACwYnA_2,audio,12,6.0,6.5,True
-3g5yACwYnA_2,audio,13,6.5,7.0,True
-3g5yACwYnA_2,audio,14,7.0,7.5,True
-3g5yACwYnA_2,audio,15,7.5,8.0,True
-3g5yACwYnA_2,audio,16,8.0,8.5,True
-3g5yACwYnA_2,audio,17,8.5,9.0,True
-3g5yACwYnA_2,audio,18,9.0,9.5,True
-3g5yACwYnA_2,audio,19,9.5,10.0,False
-3g5yACwYnA_2,audio,20,10.0,10.5,False
-3g5yACwYnA_2,audio,21,10.5,11.0,False
-3g5yACwYnA_2,audio,22,11.0,11.5,False
-3g5yACwYnA_2,audio,23,11.5,12.0,False
-3g5yACwYnA_2,audio,24,12.0,12.5,False
-3g5yACwYnA_2,audio,25,12.5,13.0,False
-3g5yACwYnA_2,audio,26,13.0,13.5,False
-3g5yACwYnA_2,audio,27,13.5,14.0,False
-3g5yACwYnA_2,audio,28,14.0,14.5,False
-3g5yACwYnA_2,audio,29,14.5,15.0,False
-3g5yACwYnA_2,audio,30,15.0,15.5,False
-3g5yACwYnA_2,audio,31,15.5,16.0,False
-3g5yACwYnA_2,audio,32,16.0,16.5,False
-3g5yACwYnA_2,audio,33,16.5,17.0,False
-3g5yACwYnA_2,audio,34,17.0,17.5,False
-3g5yACwYnA_2,audio,35,17.5,18.0,False
-3g5yACwYnA_2,audio,36,18.0,18.5,False
-3g5yACwYnA_2,audio,37,18.5,19.0,False
-3g5yACwYnA_2,audio,38,19.0,19.5,False
-3g5yACwYnA_2,audio,39,19.5,20.0,False
-3g5yACwYnA_2,audio,40,20.0,20.5,False
-3g5yACwYnA_2,audio,41,20.5,21.0,False
-3g5yACwYnA_2,audio,42,21.0,21.5,False
-3g5yACwYnA_2,audio,43,21.5,22.0,False
-3g5yACwYnA_2,audio,44,22.0,22.5,False
-3g5yACwYnA_2,audio,45,22.5,23.0,False
-3g5yACwYnA_2,audio,46,23.0,23.5,False
-3g5yACwYnA_2,audio,47,23.5,24.0,False
-3g5yACwYnA_2,audio,48,24.0,24.5,False
-3g5yACwYnA_2,audio,49,24.5,25.0,False
-3g5yACwYnA_2,vision,0,0.0,0.5,True
-3g5yACwYnA_2,vision,1,0.5,1.0,True
-3g5yACwYnA_2,vision,2,1.0,1.5,True
-3g5yACwYnA_2,vision,3,1.5,2.0,True
-3g5yACwYnA_2,vision,4,2.0,2.5,True
-3g5yACwYnA_2,vision,5,2.5,3.0,True
-3g5yACwYnA_2,vision,6,3.0,3.5,True
-3g5yACwYnA_2,vision,7,3.5,4.0,True
-3g5yACwYnA_2,vision,8,4.0,4.5,True
-3g5yACwYnA_2,vision,9,4.5,5.0,True
-3g5yACwYnA_2,vision,10,5.0,5.5,True
-3g5yACwYnA_2,vision,11,5.5,6.0,True
-3g5yACwYnA_2,vision,12,6.0,6.5,True
-3g5yACwYnA_2,vision,13,6.5,7.0,True
-3g5yACwYnA_2,vision,14,7.0,7.5,True
-3g5yACwYnA_2,vision,15,7.5,8.0,True
-3g5yACwYnA_2,vision,16,8.0,8.5,True
-3g5yACwYnA_2,vision,17,8.5,9.0,True
-3g5yACwYnA_2,vision,18,9.0,9.5,True
-3g5yACwYnA_2,vision,19,9.5,10.0,False
-3g5yACwYnA_2,vision,20,10.0,10.5,False
-3g5yACwYnA_2,vision,21,10.5,11.0,False
-3g5yACwYnA_2,vision,22,11.0,11.5,False
-3g5yACwYnA_2,vision,23,11.5,12.0,False
-3g5yACwYnA_2,vision,24,12.0,12.5,False
-3g5yACwYnA_2,vision,25,12.5,13.0,False
-3g5yACwYnA_2,vision,26,13.0,13.5,False
-3g5yACwYnA_2,vision,27,13.5,14.0,False
-3g5yACwYnA_2,vision,28,14.0,14.5,False
-3g5yACwYnA_2,vision,29,14.5,15.0,False
-3g5yACwYnA_2,vision,30,15.0,15.5,False
-3g5yACwYnA_2,vision,31,15.5,16.0,False
-3g5yACwYnA_2,vision,32,16.0,16.5,False
-3g5yACwYnA_2,vision,33,16.5,17.0,False
-3g5yACwYnA_2,vision,34,17.0,17.5,False
-3g5yACwYnA_2,vision,35,17.5,18.0,False
-3g5yACwYnA_2,vision,36,18.0,18.5,False
-3g5yACwYnA_2,vision,37,18.5,19.0,False
-3g5yACwYnA_2,vision,38,19.0,19.5,False
-3g5yACwYnA_2,vision,39,19.5,20.0,False
-3g5yACwYnA_2,vision,40,20.0,20.5,False
-3g5yACwYnA_2,vision,41,20.5,21.0,False
-3g5yACwYnA_2,vision,42,21.0,21.5,False
-3g5yACwYnA_2,vision,43,21.5,22.0,False
-3g5yACwYnA_2,vision,44,22.0,22.5,False
-3g5yACwYnA_2,vision,45,22.5,23.0,False
-3g5yACwYnA_2,vision,46,23.0,23.5,False
-3g5yACwYnA_2,vision,47,23.5,24.0,False
-3g5yACwYnA_2,vision,48,24.0,24.5,False
-3g5yACwYnA_2,vision,49,24.5,25.0,False
-3g5yACwYnA_3,audio,0,0.0,0.5,True
-3g5yACwYnA_3,audio,1,0.5,1.0,True
-3g5yACwYnA_3,audio,2,1.0,1.5,True
-3g5yACwYnA_3,audio,3,1.5,2.0,True
-3g5yACwYnA_3,audio,4,2.0,2.5,True
-3g5yACwYnA_3,audio,5,2.5,3.0,True
-3g5yACwYnA_3,audio,6,3.0,3.5,True
-3g5yACwYnA_3,audio,7,3.5,4.0,True
-3g5yACwYnA_3,audio,8,4.0,4.5,True
-3g5yACwYnA_3,audio,9,4.5,5.0,True
-3g5yACwYnA_3,audio,10,5.0,5.5,True
-3g5yACwYnA_3,audio,11,5.5,6.0,True
-3g5yACwYnA_3,audio,12,6.0,6.5,True
-3g5yACwYnA_3,audio,13,6.5,7.0,True
-3g5yACwYnA_3,audio,14,7.0,7.5,True
-3g5yACwYnA_3,audio,15,7.5,8.0,True
-3g5yACwYnA_3,audio,16,8.0,8.5,True
-3g5yACwYnA_3,audio,17,8.5,9.0,True
-3g5yACwYnA_3,audio,18,9.0,9.5,True
-3g5yACwYnA_3,audio,19,9.5,10.0,True
-3g5yACwYnA_3,audio,20,10.0,10.5,True
-3g5yACwYnA_3,audio,21,10.5,11.0,True
-3g5yACwYnA_3,audio,22,11.0,11.5,True
-3g5yACwYnA_3,audio,23,11.5,12.0,True
-3g5yACwYnA_3,audio,24,12.0,12.5,True
-3g5yACwYnA_3,audio,25,12.5,13.0,True
-3g5yACwYnA_3,audio,26,13.0,13.5,True
-3g5yACwYnA_3,audio,27,13.5,14.0,True
-3g5yACwYnA_3,audio,28,14.0,14.5,True
-3g5yACwYnA_3,audio,29,14.5,15.0,False
-3g5yACwYnA_3,audio,30,15.0,15.5,False
-3g5yACwYnA_3,audio,31,15.5,16.0,False
-3g5yACwYnA_3,audio,32,16.0,16.5,False
-3g5yACwYnA_3,audio,33,16.5,17.0,False
-3g5yACwYnA_3,audio,34,17.0,17.5,False
-3g5yACwYnA_3,audio,35,17.5,18.0,False
-3g5yACwYnA_3,audio,36,18.0,18.5,False
-3g5yACwYnA_3,audio,37,18.5,19.0,False
-3g5yACwYnA_3,audio,38,19.0,19.5,False
-3g5yACwYnA_3,audio,39,19.5,20.0,False
-3g5yACwYnA_3,audio,40,20.0,20.5,False
-3g5yACwYnA_3,audio,41,20.5,21.0,False
-3g5yACwYnA_3,audio,42,21.0,21.5,False
-3g5yACwYnA_3,audio,43,21.5,22.0,False
-3g5yACwYnA_3,audio,44,22.0,22.5,False
-3g5yACwYnA_3,audio,45,22.5,23.0,False
-3g5yACwYnA_3,audio,46,23.0,23.5,False
-3g5yACwYnA_3,audio,47,23.5,24.0,False
-3g5yACwYnA_3,audio,48,24.0,24.5,False
-3g5yACwYnA_3,audio,49,24.5,25.0,False
-3g5yACwYnA_3,vision,0,0.0,0.5,True
-3g5yACwYnA_3,vision,1,0.5,1.0,True
-3g5yACwYnA_3,vision,2,1.0,1.5,True
-3g5yACwYnA_3,vision,3,1.5,2.0,True
-3g5yACwYnA_3,vision,4,2.0,2.5,True
-3g5yACwYnA_3,vision,5,2.5,3.0,True
-3g5yACwYnA_3,vision,6,3.0,3.5,True
-3g5yACwYnA_3,vision,7,3.5,4.0,True
-3g5yACwYnA_3,vision,8,4.0,4.5,True
-3g5yACwYnA_3,vision,9,4.5,5.0,True
-3g5yACwYnA_3,vision,10,5.0,5.5,True
-3g5yACwYnA_3,vision,11,5.5,6.0,True
-3g5yACwYnA_3,vision,12,6.0,6.5,True
-3g5yACwYnA_3,vision,13,6.5,7.0,True
-3g5yACwYnA_3,vision,14,7.0,7.5,True
-3g5yACwYnA_3,vision,15,7.5,8.0,True
-3g5yACwYnA_3,vision,16,8.0,8.5,True
-3g5yACwYnA_3,vision,17,8.5,9.0,True
-3g5yACwYnA_3,vision,18,9.0,9.5,True
-3g5yACwYnA_3,vision,19,9.5,10.0,True
-3g5yACwYnA_3,vision,20,10.0,10.5,True
-3g5yACwYnA_3,vision,21,10.5,11.0,True
-3g5yACwYnA_3,vision,22,11.0,11.5,True
-3g5yACwYnA_3,vision,23,11.5,12.0,True
-3g5yACwYnA_3,vision,24,12.0,12.5,True
-3g5yACwYnA_3,vision,25,12.5,13.0,True
-3g5yACwYnA_3,vision,26,13.0,13.5,True
-3g5yACwYnA_3,vision,27,13.5,14.0,True
-3g5yACwYnA_3,vision,28,14.0,14.5,True
-3g5yACwYnA_3,vision,29,14.5,15.0,False
-3g5yACwYnA_3,vision,30,15.0,15.5,False
-3g5yACwYnA_3,vision,31,15.5,16.0,False
-3g5yACwYnA_3,vision,32,16.0,16.5,False
-3g5yACwYnA_3,vision,33,16.5,17.0,False
-3g5yACwYnA_3,vision,34,17.0,17.5,False
-3g5yACwYnA_3,vision,35,17.5,18.0,False
-3g5yACwYnA_3,vision,36,18.0,18.5,False
-3g5yACwYnA_3,vision,37,18.5,19.0,False
-3g5yACwYnA_3,vision,38,19.0,19.5,False
-3g5yACwYnA_3,vision,39,19.5,20.0,False
-3g5yACwYnA_3,vision,40,20.0,20.5,False
-3g5yACwYnA_3,vision,41,20.5,21.0,False
-3g5yACwYnA_3,vision,42,21.0,21.5,False
-3g5yACwYnA_3,vision,43,21.5,22.0,False
-3g5yACwYnA_3,vision,44,22.0,22.5,False
-3g5yACwYnA_3,vision,45,22.5,23.0,False
-3g5yACwYnA_3,vision,46,23.0,23.5,False
-3g5yACwYnA_3,vision,47,23.5,24.0,False
-3g5yACwYnA_3,vision,48,24.0,24.5,False
-3g5yACwYnA_3,vision,49,24.5,25.0,False
-3g5yACwYnA_9,audio,0,0.0,0.5,True
-3g5yACwYnA_9,audio,1,0.5,1.0,True
-3g5yACwYnA_9,audio,2,1.0,1.5,True
-3g5yACwYnA_9,audio,3,1.5,2.0,True
-3g5yACwYnA_9,audio,4,2.0,2.5,True
-3g5yACwYnA_9,audio,5,2.5,3.0,True
-3g5yACwYnA_9,audio,6,3.0,3.5,True
-3g5yACwYnA_9,audio,7,3.5,4.0,True
-3g5yACwYnA_9,audio,8,4.0,4.5,True
-3g5yACwYnA_9,audio,9,4.5,5.0,True
-3g5yACwYnA_9,audio,10,5.0,5.5,True
-3g5yACwYnA_9,audio,11,5.5,6.0,True
-3g5yACwYnA_9,audio,12,6.0,6.5,True
-3g5yACwYnA_9,audio,13,6.5,7.0,True
-3g5yACwYnA_9,audio,14,7.0,7.5,True
-3g5yACwYnA_9,audio,15,7.5,8.0,True
-3g5yACwYnA_9,audio,16,8.0,8.5,True
-3g5yACwYnA_9,audio,17,8.5,9.0,True
-3g5yACwYnA_9,audio,18,9.0,9.5,False
-3g5yACwYnA_9,audio,19,9.5,10.0,False
-3g5yACwYnA_9,audio,20,10.0,10.5,False
-3g5yACwYnA_9,audio,21,10.5,11.0,False
-3g5yACwYnA_9,audio,22,11.0,11.5,False
-3g5yACwYnA_9,audio,23,11.5,12.0,False
-3g5yACwYnA_9,audio,24,12.0,12.5,False
-3g5yACwYnA_9,audio,25,12.5,13.0,False
-3g5yACwYnA_9,audio,26,13.0,13.5,False
-3g5yACwYnA_9,audio,27,13.5,14.0,False
-3g5yACwYnA_9,audio,28,14.0,14.5,False
-3g5yACwYnA_9,audio,29,14.5,15.0,False
-3g5yACwYnA_9,audio,30,15.0,15.5,False
-3g5yACwYnA_9,audio,31,15.5,16.0,False
-3g5yACwYnA_9,audio,32,16.0,16.5,False
-3g5yACwYnA_9,audio,33,16.5,17.0,False
-3g5yACwYnA_9,audio,34,17.0,17.5,False
-3g5yACwYnA_9,audio,35,17.5,18.0,False
-3g5yACwYnA_9,audio,36,18.0,18.5,False
-3g5yACwYnA_9,audio,37,18.5,19.0,False
-3g5yACwYnA_9,audio,38,19.0,19.5,False
-3g5yACwYnA_9,audio,39,19.5,20.0,False
-3g5yACwYnA_9,audio,40,20.0,20.5,False
-3g5yACwYnA_9,audio,41,20.5,21.0,False
-3g5yACwYnA_9,audio,42,21.0,21.5,False
-3g5yACwYnA_9,audio,43,21.5,22.0,False
-3g5yACwYnA_9,audio,44,22.0,22.5,False
-3g5yACwYnA_9,audio,45,22.5,23.0,False
-3g5yACwYnA_9,audio,46,23.0,23.5,False
-3g5yACwYnA_9,audio,47,23.5,24.0,False
-3g5yACwYnA_9,audio,48,24.0,24.5,False
-3g5yACwYnA_9,audio,49,24.5,25.0,False
-3g5yACwYnA_9,vision,0,0.0,0.5,True
-3g5yACwYnA_9,vision,1,0.5,1.0,True
-3g5yACwYnA_9,vision,2,1.0,1.5,True
-3g5yACwYnA_9,vision,3,1.5,2.0,True
-3g5yACwYnA_9,vision,4,2.0,2.5,True
-3g5yACwYnA_9,vision,5,2.5,3.0,True
-3g5yACwYnA_9,vision,6,3.0,3.5,True
-3g5yACwYnA_9,vision,7,3.5,4.0,True
-3g5yACwYnA_9,vision,8,4.0,4.5,True
-3g5yACwYnA_9,vision,9,4.5,5.0,True
-3g5yACwYnA_9,vision,10,5.0,5.5,True
-3g5yACwYnA_9,vision,11,5.5,6.0,True
-3g5yACwYnA_9,vision,12,6.0,6.5,True
-3g5yACwYnA_9,vision,13,6.5,7.0,True
-3g5yACwYnA_9,vision,14,7.0,7.5,True
-3g5yACwYnA_9,vision,15,7.5,8.0,True
-3g5yACwYnA_9,vision,16,8.0,8.5,True
-3g5yACwYnA_9,vision,17,8.5,9.0,True
-3g5yACwYnA_9,vision,18,9.0,9.5,False
-3g5yACwYnA_9,vision,19,9.5,10.0,False
-3g5yACwYnA_9,vision,20,10.0,10.5,False
-3g5yACwYnA_9,vision,21,10.5,11.0,False
-3g5yACwYnA_9,vision,22,11.0,11.5,False
-3g5yACwYnA_9,vision,23,11.5,12.0,False
-3g5yACwYnA_9,vision,24,12.0,12.5,False
-3g5yACwYnA_9,vision,25,12.5,13.0,False
-3g5yACwYnA_9,vision,26,13.0,13.5,False
-3g5yACwYnA_9,vision,27,13.5,14.0,False
-3g5yACwYnA_9,vision,28,14.0,14.5,False
-3g5yACwYnA_9,vision,29,14.5,15.0,False
-3g5yACwYnA_9,vision,30,15.0,15.5,False
-3g5yACwYnA_9,vision,31,15.5,16.0,False
-3g5yACwYnA_9,vision,32,16.0,16.5,False
-3g5yACwYnA_9,vision,33,16.5,17.0,False
-3g5yACwYnA_9,vision,34,17.0,17.5,False
-3g5yACwYnA_9,vision,35,17.5,18.0,False
-3g5yACwYnA_9,vision,36,18.0,18.5,False
-3g5yACwYnA_9,vision,37,18.5,19.0,False
-3g5yACwYnA_9,vision,38,19.0,19.5,False
-3g5yACwYnA_9,vision,39,19.5,20.0,False
-3g5yACwYnA_9,vision,40,20.0,20.5,False
-3g5yACwYnA_9,vision,41,20.5,21.0,False
-3g5yACwYnA_9,vision,42,21.0,21.5,False
-3g5yACwYnA_9,vision,43,21.5,22.0,False
-3g5yACwYnA_9,vision,44,22.0,22.5,False
-3g5yACwYnA_9,vision,45,22.5,23.0,False
-3g5yACwYnA_9,vision,46,23.0,23.5,False
-3g5yACwYnA_9,vision,47,23.5,24.0,False
-3g5yACwYnA_9,vision,48,24.0,24.5,False
-3g5yACwYnA_9,vision,49,24.5,25.0,False
-3nNcZdcdvU_5,audio,0,0.0,0.5,True
-3nNcZdcdvU_5,audio,1,0.5,1.0,True
-3nNcZdcdvU_5,audio,2,1.0,1.5,True
-3nNcZdcdvU_5,audio,3,1.5,2.0,True
-3nNcZdcdvU_5,audio,4,2.0,2.5,True
-3nNcZdcdvU_5,audio,5,2.5,3.0,True
-3nNcZdcdvU_5,audio,6,3.0,3.5,True
-3nNcZdcdvU_5,audio,7,3.5,4.0,True
-3nNcZdcdvU_5,audio,8,4.0,4.5,True
-3nNcZdcdvU_5,audio,9,4.5,5.0,True
-3nNcZdcdvU_5,audio,10,5.0,5.5,True
-3nNcZdcdvU_5,audio,11,5.5,6.0,True
-3nNcZdcdvU_5,audio,12,6.0,6.5,True
-3nNcZdcdvU_5,audio,13,6.5,7.0,True
-3nNcZdcdvU_5,audio,14,7.0,7.5,True
-3nNcZdcdvU_5,audio,15,7.5,8.0,True
-3nNcZdcdvU_5,audio,16,8.0,8.5,False
-3nNcZdcdvU_5,audio,17,8.5,9.0,False
-3nNcZdcdvU_5,audio,18,9.0,9.5,False
-3nNcZdcdvU_5,audio,19,9.5,10.0,False
-3nNcZdcdvU_5,audio,20,10.0,10.5,False
-3nNcZdcdvU_5,audio,21,10.5,11.0,False
-3nNcZdcdvU_5,audio,22,11.0,11.5,False
-3nNcZdcdvU_5,audio,23,11.5,12.0,False
-3nNcZdcdvU_5,audio,24,12.0,12.5,False
-3nNcZdcdvU_5,audio,25,12.5,13.0,False
-3nNcZdcdvU_5,audio,26,13.0,13.5,False
-3nNcZdcdvU_5,audio,27,13.5,14.0,False
-3nNcZdcdvU_5,audio,28,14.0,14.5,False
-3nNcZdcdvU_5,audio,29,14.5,15.0,False
-3nNcZdcdvU_5,audio,30,15.0,15.5,False
-3nNcZdcdvU_5,audio,31,15.5,16.0,False
-3nNcZdcdvU_5,audio,32,16.0,16.5,False
-3nNcZdcdvU_5,audio,33,16.5,17.0,False
-3nNcZdcdvU_5,audio,34,17.0,17.5,False
-3nNcZdcdvU_5,audio,35,17.5,18.0,False
-3nNcZdcdvU_5,audio,36,18.0,18.5,False
-3nNcZdcdvU_5,audio,37,18.5,19.0,False
-3nNcZdcdvU_5,audio,38,19.0,19.5,False
-3nNcZdcdvU_5,audio,39,19.5,20.0,False
-3nNcZdcdvU_5,audio,40,20.0,20.5,False
-3nNcZdcdvU_5,audio,41,20.5,21.0,False
-3nNcZdcdvU_5,audio,42,21.0,21.5,False
-3nNcZdcdvU_5,audio,43,21.5,22.0,False
-3nNcZdcdvU_5,audio,44,22.0,22.5,False
-3nNcZdcdvU_5,audio,45,22.5,23.0,False
-3nNcZdcdvU_5,audio,46,23.0,23.5,False
-3nNcZdcdvU_5,audio,47,23.5,24.0,False
-3nNcZdcdvU_5,audio,48,24.0,24.5,False
-3nNcZdcdvU_5,audio,49,24.5,25.0,False
-3nNcZdcdvU_5,vision,0,0.0,0.5,True
-3nNcZdcdvU_5,vision,1,0.5,1.0,True
-3nNcZdcdvU_5,vision,2,1.0,1.5,True
-3nNcZdcdvU_5,vision,3,1.5,2.0,True
-3nNcZdcdvU_5,vision,4,2.0,2.5,True
-3nNcZdcdvU_5,vision,5,2.5,3.0,True
-3nNcZdcdvU_5,vision,6,3.0,3.5,True
-3nNcZdcdvU_5,vision,7,3.5,4.0,True
-3nNcZdcdvU_5,vision,8,4.0,4.5,True
-3nNcZdcdvU_5,vision,9,4.5,5.0,True
-3nNcZdcdvU_5,vision,10,5.0,5.5,True
-3nNcZdcdvU_5,vision,11,5.5,6.0,True
-3nNcZdcdvU_5,vision,12,6.0,6.5,True
-3nNcZdcdvU_5,vision,13,6.5,7.0,True
-3nNcZdcdvU_5,vision,14,7.0,7.5,True
-3nNcZdcdvU_5,vision,15,7.5,8.0,True
-3nNcZdcdvU_5,vision,16,8.0,8.5,False
-3nNcZdcdvU_5,vision,17,8.5,9.0,False
-3nNcZdcdvU_5,vision,18,9.0,9.5,False
-3nNcZdcdvU_5,vision,19,9.5,10.0,False
-3nNcZdcdvU_5,vision,20,10.0,10.5,False
-3nNcZdcdvU_5,vision,21,10.5,11.0,False
-3nNcZdcdvU_5,vision,22,11.0,11.5,False
-3nNcZdcdvU_5,vision,23,11.5,12.0,False
-3nNcZdcdvU_5,vision,24,12.0,12.5,False
-3nNcZdcdvU_5,vision,25,12.5,13.0,False
-3nNcZdcdvU_5,vision,26,13.0,13.5,False
-3nNcZdcdvU_5,vision,27,13.5,14.0,False
-3nNcZdcdvU_5,vision,28,14.0,14.5,False
-3nNcZdcdvU_5,vision,29,14.5,15.0,False
-3nNcZdcdvU_5,vision,30,15.0,15.5,False
-3nNcZdcdvU_5,vision,31,15.5,16.0,False
-3nNcZdcdvU_5,vision,32,16.0,16.5,False
-3nNcZdcdvU_5,vision,33,16.5,17.0,False
-3nNcZdcdvU_5,vision,34,17.0,17.5,False
-3nNcZdcdvU_5,vision,35,17.5,18.0,False
-3nNcZdcdvU_5,vision,36,18.0,18.5,False
-3nNcZdcdvU_5,vision,37,18.5,19.0,False
-3nNcZdcdvU_5,vision,38,19.0,19.5,False
-3nNcZdcdvU_5,vision,39,19.5,20.0,False
-3nNcZdcdvU_5,vision,40,20.0,20.5,False
-3nNcZdcdvU_5,vision,41,20.5,21.0,False
-3nNcZdcdvU_5,vision,42,21.0,21.5,False
-3nNcZdcdvU_5,vision,43,21.5,22.0,False
