sample_id,modality,feature_file,shape,dtype,size_bytes,sha256
-3g5yACwYnA_9,vision,outputs/features/visual/-3g5yACwYnA_9.npy,50x20,float32,4128,5094c847c0c3d8f27ba20af6c68f37896ed1923abf10fd01e0a44bbbb1cabf5d
-3g5yACwYnA_9,text,outputs/features/text/-3g5yACwYnA_9.npy,50x768,float32,153728,0d1f0631f94455c7c2e572c714645df252b4b98e01970fe425390722c33c6d31
-3nNcZdcdvU_5,audio,outputs/features/audio/-3nNcZdcdvU_5.npy,50x25,float32,5128,6c7d5a08bb557472922bcb3009e09f01bbfc95ef71582b0ebe60354ddedafee8
-3nNcZdcdvU_5,vision,outputs/features/visual/-3nNcZdcdvU_5.npy,50x20,float32,4128,80d051d86eab061f236a28fd416bb216abf13dca0bb9610f3699456d55b0734b
-3nNcZdcdvU_5,text,outputs/features/text/-3nNcZdcdvU_5.npy,50x768,float32,153728,4d61ecfdc6f15c20408c6d30547fe7ba04865ad3dd329809e4fc5ce286b55b6d
-571d8cVauQ_0,audio,outputs/features/audio/-571d8cVauQ_0.npy,50x25,float32,5128,e79975cbfc7192acdfc1aa7fc46b5a13939da5886150b6980df04d389f9f237e
-571d8cVauQ_0,vision,outputs/features/visual/-571d8cVauQ_0.npy,50x20,float32,4128,46a7342ca799dcc3837bfc5c42f241ddb4f1864764c3bf46732e672f89d3d47a
-571d8cVauQ_0,text,outputs/features/text/-571d8cVauQ_0.npy,50x768,float32,153728,b3c26737a3b7bfea29f7dc3b264d2048f38d45f3232e8b788bd266cfcccdfcda
-571d8cVauQ_5,audio,outputs/features/audio/-571d8cVauQ_5.npy,50x25,float32,5128,c6a2db870fd9d60c6208c29d4f9562ff2641c76626a7e75e968966c24079ae3d
-571d8cVauQ_5,vision,outputs/features/visual/-571d8cVauQ_5.npy,50x20,float32,4128,86033362165ba03ebba543a926c6568f80fcad9dbfe131ba4458d22e2c769bcf
-571d8cVauQ_5,text,outputs/features/text/-571d8cVauQ_5.npy,50x768,float32,153728,ea38c77050bb05bfaf039e51397c5f84068131dc2bce2436512d410037ec603a
-6rXp3zJ3kc_8,audio,outputs/features/audio/-6rXp3zJ3kc_8.npy,50x25,float32,5128,4ac455f7cf1487717f82c68b19d55185ce65517fede930b95e9578fba3f99cd3
-6rXp3zJ3kc_8,vision,outputs/features/visual/-6rXp3zJ3kc_8.npy,50x20,float32,4128,47b7b0d0ccba8638476f36a19ee2db600851be9804f9309a9ffd8aadd5de6c99
-6rXp3zJ3kc_8,text,outputs/features/text/-6rXp3zJ3kc_8.npy,50x768,float32,153728,819adeac80c931913a64c9a6bd7abf8d6c3fcaa621e2ed0b3b37293642e910c5
-9y-fZ3swSY_0,audio,outputs/features/audio/-9y-fZ3swSY_0.npy,50x25,float32,5128,74f24697c2934ab52ca9ac9f2cb952a6a1f4defc2d2e5ecc53bf8e6cff20f2b4
-9y-fZ3swSY_0,vision,outputs/features/visual/-9y-fZ3swSY_0.npy,50x20,float32,4128,86a7cb743c34edbb1995d099a0e8e8e6a77dae08b56e26b92b43ff7dd3510bde
-9y-fZ3swSY_0,text,outputs/features/text/-9y-fZ3swSY_0.npy,50x768,float32,153728,db29dbca29c35780a5d88fbaa2fdf9c8fadde2ce654a7df0772c5ef601d0535f
-9y-fZ3swSY_4,audio,outputs/features/audio/-9y-fZ3swSY_4.npy,50x25,float32,5128,988ab5ebb3f7bd3c977d7500e87bd1497d596540702b13366f032ab4f29dce7b
-9y-fZ3swSY_4,vision,outputs/features/visual/-9y-fZ3swSY_4.npy,50x20,float32,4128,f58aa7fed41ba7c1bfc2809c613a7075efe8f8951f10f9471211602d528e1293
-9y-fZ3swSY_4,text,outputs/features/text/-9y-fZ3swSY_4.npy,50x768,float32,153728,a518f2ac8c290b5240de8d34e65e556a46d66bdd79d0ab25f5a7fce7fe5e57a2
-9y-fZ3swSY_8,audio,outputs/features/audio/-9y-fZ3swSY_8.npy,50x25,float32,5128,e99cce1917dc26f7382b8bafd3115ee04a3fb84ac2260b1ab42446eeced4acfe
-9y-fZ3swSY_8,vision,outputs/features/visual/-9y-fZ3swSY_8.npy,50x20,float32,4128,66efc632d3cb1dc026b11e2a74f3b4ede9dced6b2b4f728fdff4213c8551f7f6
-9y-fZ3swSY_8,text,outputs/features/text/-9y-fZ3swSY_8.npy,50x768,float32,153728,fe7159c4bcd1d7e17e6f4ccd95adddfafde6f440abad65911e86d2fb394c1fcc
-AUZQgSxyPQ_2,audio,outputs/features/audio/-AUZQgSxyPQ_2.npy,50x25,float32,5128,60deb2f28bd5b4479f8f94f58e32954d9c5df2b920088a6c42ef0c484b16c654
-AUZQgSxyPQ_2,vision,outputs/features/visual/-AUZQgSxyPQ_2.npy,50x20,float32,4128,2718bec71c6268d933b9a8458218587fd31fc4f2a9aae65cac6858d4d441b04e
-AUZQgSxyPQ_2,text,outputs/features/text/-AUZQgSxyPQ_2.npy,50x768,float32,153728,a2f412674b99d6a7503f5d7e54fb82da744676fc44ad82384220868c2e02856c
-HeZS2-Prhc_2,audio,outputs/features/audio/-HeZS2-Prhc_2.npy,50x25,float32,5128,39919d60e42a76668791a2b6e28de39f26a7b4e196551463af240801ac247eec
-HeZS2-Prhc_2,vision,outputs/features/visual/-HeZS2-Prhc_2.npy,50x20,float32,4128,1fa82f503b1dc8554e3003217d2a912a5561ae4d6da29e26694d0f051e2f1d30
-HeZS2-Prhc_2,text,outputs/features/text/-HeZS2-Prhc_2.npy,50x768,float32,153728,c516662359f0bcf735203cd7470ca3bb58de0025d5743f9fc1be6acb323c8493
-HwX2H8Z4hY_2,audio,outputs/features/audio/-HwX2H8Z4hY_2.npy,50x25,float32,5128,80326f5c5040d829f976f8512a944d0094def9f90e607db975ee386e1ea844ad
-HwX2H8Z4hY_2,vision,outputs/features/visual/-HwX2H8Z4hY_2.npy,50x20,float32,4128,c16ecd25df49c96eea0003f5e9ca753d5e5319d1908a820d4264dcce3f25105a
-HwX2H8Z4hY_2,text,outputs/features/text/-HwX2H8Z4hY_2.npy,50x768,float32,153728,33fbffaa73f07b4a0c225dc439599fb07f8cc7c691fcf2683a98910f2538fe73
-HwX2H8Z4hY_5,audio,outputs/features/audio/-HwX2H8Z4hY_5.npy,50x25,float32,5128,ec3f3a39bcc50b4ed37d07a2fbd36a0b9b1c982481c15b45cb0a6e94e2acff00
-HwX2H8Z4hY_5,vision,outputs/features/visual/-HwX2H8Z4hY_5.npy,50x20,float32,4128,678712f1bfc84b5b27f1037f24c3371748433420deb1caaf7e56d9408bcc86c1
-HwX2H8Z4hY_5,text,outputs/features/text/-HwX2H8Z4hY_5.npy,50x768,float32,153728,24d06424e6362e7409d7805be4b1e1a7e6ebd879eec0aa250563f0cc6bb7cbd0
-HwX2H8Z4hY_6,audio,outputs/features/audio/-HwX2H8Z4hY_6.npy,50x25,float32,5128,291952c172fe8cf70d3222422dc4f426a2360949ca696a6c6e19b45ef0b9e8e9
-HwX2H8Z4hY_6,vision,outputs/features/visual/-HwX2H8Z4hY_6.npy,50x20,float32,4128,c2666060aad712fe8440d085465807dcf47da604224d4d580e138c8d855ffbbf
-HwX2H8Z4hY_6,text,outputs/features/text/-HwX2H8Z4hY_6.npy,50x768,float32,153728,572821d2c55d1a9b6358f4bf7c1d1071a2f217c0da37a32f069a2d7687b94536
-HwX2H8Z4hY_9,audio,outputs/features/audio/-HwX2H8Z4hY_9.npy,50x25,float32,5128,7a2b5d190ffd7ca8a78b28c4deb3a42cc6ed8ca0cfcd348ea00aaf70933fbecf
-HwX2H8Z4hY_9,vision,outputs/features/visual/-HwX2H8Z4hY_9.npy,50x20,float32,4128,599c26a7d8085915081837c1e067f5ae8cc1c241600aa6fe5a2fe7fc933d898d
-HwX2H8Z4hY_9,text,outputs/features/text/-HwX2H8Z4hY_9.npy,50x768,float32,153728,9fe2223acd9036259fc9df78a891f145769f76c4e73a5f33f7d4fcb3919fa517
-I_e4mIh0yE_1,audio,outputs/features/audio/-I_e4mIh0yE_1.npy,50x25,float32,5128,f0d6f8313b57e01203c2990788e26c1d416889c9afd26794f61503dd70119b35
-I_e4mIh0yE_1,vision,outputs/features/visual/-I_e4mIh0yE_1.npy,50x20,float32,4128,d088236889cd099555305fb2ffc143234192a2f5f4a7da18e279059a425b0809
-I_e4mIh0yE_1,text,outputs/features/text/-I_e4mIh0yE_1.npy,50x768,float32,153728,4e854157c59f8a63772677c4b2315597882e33fa0c1cac465d1a2b6861de2697
-I_e4mIh0yE_3,audio,outputs/features/audio/-I_e4mIh0yE_3.npy,50x25,float32,5128,80a0694cfe53e46fb1cb38c87a41c62b83eb0d6e8333c9e23ec1c39bb0bbfb78
-I_e4mIh0yE_3,vision,outputs/features/visual/-I_e4mIh0yE_3.npy,50x20,float32,4128,e5fd4d7622981f008b005e68d72bb13a70c2fff4327d98fe08317c86b38b01df
-I_e4mIh0yE_3,text,outputs/features/text/-I_e4mIh0yE_3.npy,50x768,float32,153728,b1aabad39852c82db64ba951b9994f977c040accd3958de0562a3ee5cfbf8934
-MeTTeMJBNc_0,audio,outputs/features/audio/-MeTTeMJBNc_0.npy,50x25,float32,5128,47314ee3b66e4e2417fcfd0a6b50d517dedb0dec3256592ba02e6a6642778a21
-MeTTeMJBNc_0,vision,outputs/features/visual/-MeTTeMJBNc_0.npy,50x20,float32,4128,e46c0f83bfd817d60b191695cdd4c4de06c6f3dce2fe7ea58b34ce2997863013
-MeTTeMJBNc_0,text,outputs/features/text/-MeTTeMJBNc_0.npy,50x768,float32,153728,fb018c7244a170abd4ba2df879f9d15e0f8ab793d255ca14fb30c9a761c16f09
-MeTTeMJBNc_13,audio,outputs/features/audio/-MeTTeMJBNc_13.npy,50x25,float32,5128,2643737bae88b9ec007a125c1337bbf798ee2ea54c62f020fc06c77e72b92fea
-MeTTeMJBNc_13,vision,outputs/features/visual/-MeTTeMJBNc_13.npy,50x20,float32,4128,3a9e570d3eeb99c62a13ba0485b368fa7ca1e54d3a979f9f0b4b69fd670d36fb
-MeTTeMJBNc_13,text,outputs/features/text/-MeTTeMJBNc_13.npy,50x768,float32,153728,c1235e6f7051f7e02c6d80f6409697c55d9ff5ecd05af3cf106edb767050d339
-MeTTeMJBNc_7,audio,outputs/features/audio/-MeTTeMJBNc_7.npy,50x25,float32,5128,296273e5d0c434854b3ee3cccd4140798795c87cdbbd42dd1cb41eaf674365bc
-MeTTeMJBNc_7,vision,outputs/features/visual/-MeTTeMJBNc_7.npy,50x20,float32,4128,aca440bd52d2d95b0792e428c72189ace0b9e0c3f19e1f3a904e5a694933d17b
-MeTTeMJBNc_7,text,outputs/features/text/-MeTTeMJBNc_7.npy,50x768,float32,153728,c1d93a1c63a32def55b2bb880294c299ca981d6fab3bf77250bc913fdcc8f49a
-NFrJFQijFE_1,audio,outputs/features/audio/-NFrJFQijFE_1.npy,50x25,float32,5128,09717bbfee48297a4ce546176c7740b0178f7e14ee0e8534def5c2d6dad5d9fc
-NFrJFQijFE_1,vision,outputs/features/visual/-NFrJFQijFE_1.npy,50x20,float32,4128,9f73c8e43d0f047ba0898c3b943d71781ad562f89a5d92a6d35111bc4602ba1e
-NFrJFQijFE_1,text,outputs/features/text/-NFrJFQijFE_1.npy,50x768,float32,153728,ba5ccf22e9df22a92c05870f1419727a2e387276c76f35691172738196746b51
-NFrJFQijFE_2,audio,outputs/features/audio/-NFrJFQijFE_2.npy,50x25,float32,5128,39314bc28479f605844a9c25412755c64979a195e7b7243d50923606bc2bf23e
-NFrJFQijFE_2,vision,outputs/features/visual/-NFrJFQijFE_2.npy,50x20,float32,4128,204d1146d0e042d37bf1b69886bdc581c37dd93ba289016409d11a7a46a1159c
-NFrJFQijFE_2,text,outputs/features/text/-NFrJFQijFE_2.npy,50x768,float32,153728,5c38fd69443d04fcf416ce4cf1ade596883b44f543835e8ee8b655caa20c93d0
-RfYyzHpjk4_11,audio,outputs/features/audio/-RfYyzHpjk4_11.npy,50x25,float32,5128,76c10c89409a1d41377fa7a82d0aec626f421232872c67d39a48b79620ba6e30
-RfYyzHpjk4_11,vision,outputs/features/visual/-RfYyzHpjk4_11.npy,50x20,float32,4128,a37cf52eb4857f59b7704f46d991d6226290af3418658de1abdfe9cd6f17d453
-RfYyzHpjk4_11,text,outputs/features/text/-RfYyzHpjk4_11.npy,50x768,float32,153728,eb9c9b0ea9001f45a190a0a3b2b7f3448ac19c9a5a3ee81ccc8d8a3c7671b0b9
-RfYyzHpjk4_2,audio,outputs/features/audio/-RfYyzHpjk4_2.npy,50x25,float32,5128,21566ea74b4251c95fb685910064fa20d283778701923db34daef320464fd1c1
-RfYyzHpjk4_2,vision,outputs/features/visual/-RfYyzHpjk4_2.npy,50x20,float32,4128,707de1c05176bf4313b7c639ecc1bfcca0d61387c021fb439cfc7912df2057de
-RfYyzHpjk4_2,text,outputs/features/text/-RfYyzHpjk4_2.npy,50x768,float32,153728,693b3f5b456261c51cfe006d31a7ee121cf1f15a362911e765c2fcb69bd471d7
-RfYyzHpjk4_8,audio,outputs/features/audio/-RfYyzHpjk4_8.npy,50x25,float32,5128,3b3171e73f612946176b09a8a168ef962498e603ee95d77f387d6f99c2dcc766
-RfYyzHpjk4_8,vision,outputs/features/visual/-RfYyzHpjk4_8.npy,50x20,float32,4128,4172ed23f552c820aee59c026063de3a654e8fd22bdbfda9e8c85f6aba50fadd
-RfYyzHpjk4_8,text,outputs/features/text/-RfYyzHpjk4_8.npy,50x768,float32,153728,af669fb878011705c11d2c7e8d7e2e864e8e5ca7de5d7609ce969b7327abba6f
-THoVjtIkeU_12,audio,outputs/features/audio/-THoVjtIkeU_12.npy,50x25,float32,5128,1e3d460d0a0411a35354b9f94a1546a9a836f33a02cbcc260566f033ce1485d0
-THoVjtIkeU_12,vision,outputs/features/visual/-THoVjtIkeU_12.npy,50x20,float32,4128,c44810265dbc46ddc4c5405f9d5ec9b0c11d18f3390ed4adbe5369b5e6a81061
-THoVjtIkeU_12,text,outputs/features/text/-THoVjtIkeU_12.npy,50x768,float32,153728,f70d8b0af17f8ce56e1076b89882e83c7569988b9fb38fe2c4426764d25b8449
-THoVjtIkeU_2,audio,outputs/features/audio/-THoVjtIkeU_2.npy,50x25,float32,5128,d5eb1e411155184f0219019a33d50729fe541a3f0bb77249c36ab52d0682e85e
-THoVjtIkeU_2,vision,outputs/features/visual/-THoVjtIkeU_2.npy,50x20,float32,4128,3f86cf59f282dc8eec70b8cbc066c12606099e13029e011fce3ed61b6e9e1db4
-THoVjtIkeU_2,text,outputs/features/text/-THoVjtIkeU_2.npy,50x768,float32,153728,46a75f4056ac762f2b1aa942af72b25f6d6d260cf0e04644cf91f34307425ce1
-THoVjtIkeU_6,audio,outputs/features/audio/-THoVjtIkeU_6.npy,50x25,float32,5128,42279b547205baf9e91e1cef3f6b03a2dbbb8b088ea0dc49c2d6b131faf531a5
-THoVjtIkeU_6,vision,outputs/features/visual/-THoVjtIkeU_6.npy,50x20,float32,4128,4aacc5275c97ddce34f9ac9c811bf848edfe5d7a53b07ef4f8f6a001b6e2054a
-THoVjtIkeU_6,text,outputs/features/text/-THoVjtIkeU_6.npy,50x768,float32,153728,f2455b169efa3ed4808c58a01d28ca8410e3607412e3121fc07a8375acb41804
-UUCSKoHeMA_0,audio,outputs/features/audio/-UUCSKoHeMA_0.npy,50x25,float32,5128,efa2b1720ff2182b8cd7bb184571a427e75ccbb1b39aa9b7713860d3728c91d1
-UUCSKoHeMA_0,vision,outputs/features/visual/-UUCSKoHeMA_0.npy,50x20,float32,4128,9f4ae6d63761fc2ec707aa5e470756def80cf25e4bd1074d0a4d1f27391e1806
-UUCSKoHeMA_0,text,outputs/features/text/-UUCSKoHeMA_0.npy,50x768,float32,153728,a43d82ee2b244f3fd24667b58720ea0a72ea3b6a746fcdb85bfce83114089423
-UacrmKiTn4_10,audio,outputs/features/audio/-UacrmKiTn4_10.npy,50x25,float32,5128,6f35e29006c914d2237896f8c512799bc9835f6530fc89f3ae4b335fc5e49bb8
-UacrmKiTn4_10,vision,outputs/features/visual/-UacrmKiTn4_10.npy,50x20,float32,4128,1675aad18999cfa4ae91ad4b7f527e262cb9aa317fa1b3c0f98b0f29d6ffe830
-UacrmKiTn4_10,text,outputs/features/text/-UacrmKiTn4_10.npy,50x768,float32,153728,e9ed058b127fc00f429207c1bf1f0e4669899c77e71ecfdeb3003508e2d9f416
-UacrmKiTn4_4,audio,outputs/features/audio/-UacrmKiTn4_4.npy,50x25,float32,5128,d19618cc0a71fa3970c871d6fb23b1c45bd651683ba564c9bb9111170ce7548f
-UacrmKiTn4_4,vision,outputs/features/visual/-UacrmKiTn4_4.npy,50x20,float32,4128,04bf16b27b6e8d8c3b131e60c9e485de30a67c06b3017d9428cfe15632c972bf
-UacrmKiTn4_4,text,outputs/features/text/-UacrmKiTn4_4.npy,50x768,float32,153728,8e2006e8871b72bbf5e8ea8abe07ae7ef94ade4e449b726d04d18f78802ade75
-UuX1xuaiiE_0,audio,outputs/features/audio/-UuX1xuaiiE_0.npy,50x25,float32,5128,96a1eb3c54646bbbd0dbb01b4391e7a8045bf018684d5ef4f785d3e36ebcf599
-UuX1xuaiiE_0,vision,outputs/features/visual/-UuX1xuaiiE_0.npy,50x20,float32,4128,58032e08da25343f76fe105541553cc7a43b61aa4a7c1865a7c4d69e1e018658
-UuX1xuaiiE_0,text,outputs/features/text/-UuX1xuaiiE_0.npy,50x768,float32,153728,42deba44b0ca4f33799cd5609cedd236da9573ef0f85fe7d98ca7ee9b23be570
-UuX1xuaiiE_1,audio,outputs/features/audio/-UuX1xuaiiE_1.npy,50x25,float32,5128,89c0f411e261a53f3e23731532bfa1821f347f31965f1b86da9338114aaf47e8
-UuX1xuaiiE_1,vision,outputs/features/visual/-UuX1xuaiiE_1.npy,50x20,float32,4128,7100d656747b2c8fc16242da087bb5122cacdba05b38333c3422ac03e4d22e50
-UuX1xuaiiE_1,text,outputs/features/text/-UuX1xuaiiE_1.npy,50x768,float32,153728,0ee84e9cf5f4f09aaa8388e7028358508c6a831f73e7a46024f2b6847a8723ce
-UuX1xuaiiE_3,audio,outputs/features/audio/-UuX1xuaiiE_3.npy,50x25,float32,5128,a2cb73402d5bd99fc5eeb6c4c69f587274af25196be7b606aa6fab74b2d55d84
-UuX1xuaiiE_3,vision,outputs/features/visual/-UuX1xuaiiE_3.npy,50x20,float32,4128,9e539f9d4f4089752159672bf1c2dba47f0b4a337256fd9f66735e759e690a9d
-UuX1xuaiiE_3,text,outputs/features/text/-UuX1xuaiiE_3.npy,50x768,float32,153728,ab32824464a798e2bf24016c31178f398bf0240c77fc8c3dc5efa629e37955d0
-UuX1xuaiiE_6,audio,outputs/features/audio/-UuX1xuaiiE_6.npy,50x25,float32,5128,1066bf8fbae5695374d79484fe3a6eb3612938a5c3d82bf151394ce46793badb
-UuX1xuaiiE_6,vision,outputs/features/visual/-UuX1xuaiiE_6.npy,50x20,float32,4128,af47fd6f0ddd9fa206282fc32a81ca100debabde7d40bac0c84025f99855fd5f
-UuX1xuaiiE_6,text,outputs/features/text/-UuX1xuaiiE_6.npy,50x768,float32,153728,6e5681da3e39ff8ebe82d0e121dcb5b0e85d3d3c7c69dcf089e6f5c39a5b5de2
-a55Q6RWvTA_3,audio,outputs/features/audio/-a55Q6RWvTA_3.npy,50x25,float32,5128,33389827296c513e77193e5c702a4174f38f108e7a8c361a1cc297ff51f544ab
-a55Q6RWvTA_3,vision,outputs/features/visual/-a55Q6RWvTA_3.npy,50x20,float32,4128,0e27308b198355792e59ac522c892b9deae2ea5d549c3c1071f669fe80817c72
-a55Q6RWvTA_3,text,outputs/features/text/-a55Q6RWvTA_3.npy,50x768,float32,153728,0ee7d9e8eb51bf4423ca82dd39237f265e94642f9b9b79dcbcd1cf37c4600e9b
-aNfi7CP8vM_7,audio,outputs/features/audio/-aNfi7CP8vM_7.npy,50x25,float32,5128,ae1fa19d2b4671b359861ef912b4f872c12ae6aea3b7673595fc53ef467ea1e0
-aNfi7CP8vM_7,vision,outputs/features/visual/-aNfi7CP8vM_7.npy,50x20,float32,4128,8702d6edeeb3f59ef6ec3b090d58168b4365dbcab19fba298cc02367cfed3fff
-aNfi7CP8vM_7,text,outputs/features/text/-aNfi7CP8vM_7.npy,50x768,float32,153728,0efe2fc77b46b1e61e6c29ed5c102ff6bb008b5dffc36cce4af47dc4378a46b2
-aqamKhZ1Ec_0,audio,outputs/features/audio/-aqamKhZ1Ec_0.npy,50x25,float32,5128,b6577bc35cd67915ae75d5bb96d65dcab33317408b0f941b5a84f27b2b01af3b
-aqamKhZ1Ec_0,vision,outputs/features/visual/-aqamKhZ1Ec_0.npy,50x20,float32,4128,6589e1952070890e0a0a2a8b5989d35230678146464aabc9918fac94daba7f7c
-aqamKhZ1Ec_0,text,outputs/features/text/-aqamKhZ1Ec_0.npy,50x768,float32,153728,7f916a8702d911fbb182a8c514b87231a7aaee2cabef4f465023142f697a324f
-dxfTGcXJoc_0,audio,outputs/features/audio/-dxfTGcXJoc_0.npy,50x25,float32,5128,06bc3ec627dfc9c08c3b35adbb95c4ee5eb1404e79afca65001787d796dd23ac
-dxfTGcXJoc_0,vision,outputs/features/visual/-dxfTGcXJoc_0.npy,50x20,float32,4128,c53207daa9731ffe40f7d09e01e06ac942208a81ac8a5e64f7684e390b3caa9f
-dxfTGcXJoc_0,text,outputs/features/text/-dxfTGcXJoc_0.npy,50x768,float32,153728,bf0ed7f2670cc5ceb24cec04ccc6afeb4cfb8281f99bfe968171030309aa7088
-dxfTGcXJoc_1,audio,outputs/features/audio/-dxfTGcXJoc_1.npy,50x25,float32,5128,ee0eccff38d84507db0c5bc192c9ac580ff0ae9b1b6ece8d44add4ea6e345b2d
-dxfTGcXJoc_1,vision,outputs/features/visual/-dxfTGcXJoc_1.npy,50x20,float32,4128,6819c1e67c27a619e241a0d9956bd5cd7e79d4231a673f2b8b1469a9534118ad
-dxfTGcXJoc_1,text,outputs/features/text/-dxfTGcXJoc_1.npy,50x768,float32,153728,a1808e811b147016ab725c98dd0a639bdd95b7b94815de398fa04fa85c38d1ae
-dxfTGcXJoc_2,audio,outputs/features/audio/-dxfTGcXJoc_2.npy,50x25,float32,5128,56aab98f33652173f9714554f82e28cb0f73ee33c825794b51b4d7b91f719890
-dxfTGcXJoc_2,vision,outputs/features/visual/-dxfTGcXJoc_2.npy,50x20,float32,4128,9f9e61abb7922bdd5f1718d24ef2e0ee6c8f420002ed6de8dd7780b5f87bd796
-dxfTGcXJoc_2,text,outputs/features/text/-dxfTGcXJoc_2.npy,50x768,float32,153728,291d2d82cbab02b6ba60c0383546b0646e90bcedc430bb8aaf28860039cadb83
-dxfTGcXJoc_6,audio,outputs/features/audio/-dxfTGcXJoc_6.npy,50x25,float32,5128,8c40a9025c9aa5821239c28ff53b1be26f775d85480c3b381bbab0bc43bd1336
-dxfTGcXJoc_6,vision,outputs/features/visual/-dxfTGcXJoc_6.npy,50x20,float32,4128,9ee9b6c424037f42f0f5d0013266b8ed6da2f3a944dd2cefaedc284c61995619
-dxfTGcXJoc_6,text,outputs/features/text/-dxfTGcXJoc_6.npy,50x768,float32,153728,76a018aed514f6c64873884dd8a9a05af9923a2225ef6f350770c7fb6198cc21
-egA8-b7-3M_1,audio,outputs/features/audio/-egA8-b7-3M_1.npy,50x25,float32,5128,1e4e9b29f923332d1faeea9e9e23862a759f8f7edc3046a863f0d72c82d938b3
-egA8-b7-3M_1,vision,outputs/features/visual/-egA8-b7-3M_1.npy,50x20,float32,4128,6541bba7a779ff6c0a041ebc3b24e6047fce2e48af97cc591a9971c17ef61034
-egA8-b7-3M_1,text,outputs/features/text/-egA8-b7-3M_1.npy,50x768,float32,153728,a0a79fb5afe9e3dd309057fbe42108a16d35fee72eda48603407c1c7699b56a8
-egA8-b7-3M_13,audio,outputs/features/audio/-egA8-b7-3M_13.npy,50x25,float32,5128,ee8273e4a58ab737b6d1962502acdb74e871edc25b5a491a7e71601e2343c1cd
-egA8-b7-3M_13,vision,outputs/features/visual/-egA8-b7-3M_13.npy,50x20,float32,4128,4a0444b066a6d9553e34dd3a6b6dca1219117a58b5a1adac54e523122c39c08a
-egA8-b7-3M_13,text,outputs/features/text/-egA8-b7-3M_13.npy,50x768,float32,153728,f67eb8ce23fc967f03b5f8138e500abb475b30848e514ea9cab92fa11283438a
-egA8-b7-3M_16,audio,outputs/features/audio/-egA8-b7-3M_16.npy,50x25,float32,5128,0fee3fb0d789b90428106a246bf8cb397a94bd2ee7fa4af38d7efba69d8d9e3b
-egA8-b7-3M_16,vision,outputs/features/visual/-egA8-b7-3M_16.npy,50x20,float32,4128,d430c0d153dd9a31a616735999c720c25705e2dbe43a595f9ba6bf73c0a05198
-egA8-b7-3M_16,text,outputs/features/text/-egA8-b7-3M_16.npy,50x768,float32,153728,be0cb2ab21b15b7bfdf77a68481c155b8d67b703f314fb1d5d18bcb1135d5879
-egA8-b7-3M_17,audio,outputs/features/audio/-egA8-b7-3M_17.npy,50x25,float32,5128,13cc172753480a42df4c128c97dbdef197c6ca55ef0da4e2e1f154df4ae26e28
-egA8-b7-3M_17,vision,outputs/features/visual/-egA8-b7-3M_17.npy,50x20,float32,4128,be9a959f48175bcb10c7632af8aad42c36fc0b1b062efcc1425b55e4458d912c
-egA8-b7-3M_17,text,outputs/features/text/-egA8-b7-3M_17.npy,50x768,float32,153728,15ea866357b4c8148c251a7ca5ab261fd222283175856349b89c3683ad13136b
-egA8-b7-3M_18,audio,outputs/features/audio/-egA8-b7-3M_18.npy,50x25,float32,5128,e1867cddea5cf76a96d1fc441dd536a515277668ad36e223d0d4e6488c3e7639
-egA8-b7-3M_18,vision,outputs/features/visual/-egA8-b7-3M_18.npy,50x20,float32,4128,7613d1b2fa164f7310e65afa3e0f68f061341bdb02268ec500888456982c1a94
